Unnamed: 0,description,points,country,province,variety,price
26382,"Rich in cherries and spices, this dramatic wine has a linear, structural quality to it, the result of dryness and acidity and minerals. Shows the finesse and femininity often associated with this vineyard. Pretty and polished now, but should develop over the next six years.",93,US,California,Pinot Noir,50
69039,"What a great wine this is. It combines Chardonnay's rich, creamy texture with Sauvignon Blanc's dry, tart, lemony flavors to yield a complex wine that's a joy to drink. The acidic, peppery finish begs for food to accompany it. A very great value.",89,US,California,Sauvignon Blanc,15
90800,"A bit too heavy and direct, offering strong, upfront flavors of red and black berries, stone fruits, cola and currants, liberally spiced and oaked. The mouthfeel is full and weighty, lacking some elegance, but it is totally dry. Could be a sleeper.",87,US,California,Pinot Noir,40
97491,"Here's a dry, tannic Syrah whose everyday profile is given extra dimension by its pretty structure. It has interesting flavors of blackberries, currants, bacon and sweet tobacco.",84,US,California,Syrah,12
123881,"Lavish yet not overdone aromas of vanilla, plumeria, dried banana and yellow peach arise from the glass in this blend of 45% Viognier, 45% Marsanne and 10% Roussanne. There is a honeyed character to the palate, along with banana, mango and buttered guava bread, proving quite tropical yet very welcoming.",91,US,California,Rhône-style White Blend,30
50928,"Oak dominates this Chardonnay, with buttered toast and butterscotch flavors. Underneath is a ripe wine, with pineapple and tangerine fruit, brightened with crisp acidity. Made in the popular style and pretty good, but the oak is a little too much.",88,US,California,Chardonnay,28
44854,"This has a squeeze of lime-like acidity that cuts across the broad, rich cherry-pie, red licorice and spicy sandalwood flavors, which come with a touch of funky leather. For all of that fruit, it has a remarkably delicate mouthfeel, and it finishes dry and clean. It's very hard to predict this wine's future, but it's beautiful now to drink after a few hours in the decanter, and it should be fine over the next four years.",91,US,California,Pinot Noir,85
121764,"This is warm and tropical on the nose, with banana, papaya, honeysuckle and tuberose aromas proving a bit overpowering. The palate offers smoked apple flavors.",86,US,California,Viognier,30
90351,"Tannic and brooding in its big-boned structure, this high-elevation-grown Syrah will please Cabernet Sauvignon drinkers in its upfront oak and herb overtones. But it remains true to its varietal roots, offering bright Bing cherry, black plum and licorice, complete with loads of earthiness and ground pepper.",88,US,California,Syrah,36
119066,"Common and thin, a rustic wine marked by acidity and green flavors, with the barest suggestion of cherries. Not flawed, just rustic.",82,US,California,Pinot Noir,14
75217,"Bracingly tart, almost to the verge of tasting sour, this blend of grapes from several Dundee Hills vineyards has cool vintage flavors of spiced apple and rhubarb. The acids rule, suggesting that it be paired with fatty fish like salmon.",87,US,Oregon,Pinot Noir,40
30099,"A Cinsault-Counoise blend, this is grapey, tasting of just-ripe berries. The flavors turn a little slender on the midpalate, but it's a pleasant quaffer with balanced tannins.",86,US,Washington,Rhône-style Red Blend,36
12249,"The complex nose boasts hints of spring flowers, tobacco, maple syrup and cedar. Now into its second decade, this wine is fully mature, with flavors of molasses and mushrooms that have replaced some of the cherry notes of its youth. The mouthfeel is silky and elegant; the finish chocolaty and smooth. Drink up.",90,US,California,Cabernet Sauvignon,85
